Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
November 30 2020,Douglas,CO,Passenger,0,1,1,84,85,1.18
January 31 2022,Wahkiakum,WA,Truck,0,0,0,"1,815","1,815",0.00
February 28 2022,Houston,GA,Passenger,1,0,1,41,42,2.38
June 30 2020,Harrison,MS,Passenger,1,0,1,56,57,1.75
May 31 2019,Whitman,WA,Truck,0,0,0,"8,551","8,551",0.00
October 31 2023,Kootenai,ID,Truck,1,0,1,22,23,4.35
January 31 2023,New Haven,CT,Passenger,0,2,2,29,31,6.45
September 30 2018,King,WA,Passenger,"14,201","6,078","20,279","1,373,663","1,393,942",1.45
February 28 2019,Klickitat,WA,Passenger,30,32,62,"15,449","15,511",0.40
August 31 2022,Clackamas,OR,Passenger,2,0,2,138,140,1.43
April 30 2017,Jefferson,WA,Truck,0,0,0,"9,440","9,440",0.00
July 31 2023,Garfield,WA,Passenger,0,3,3,"1,308","1,311",0.23
February 28 2017,Missoula,MT,Passenger,1,0,1,81,82,1.22
December 31 2018,Frederick,MD,Passenger,0,1,1,79,80,1.25
June 30 2023,Yavapai,AZ,Passenger,0,1,1,18,19,5.26
April 30 2019,Eagle,CO,Passenger,1,0,1,6,7,14.29
November 30 2019,Vigo,IN,Passenger,1,0,1,6,7,14.29
August 31 2022,Kauai,HI,Passenger,1,0,1,16,17,5.88
November 30 2020,Grays Harbor,WA,Truck,0,0,0,"21,128","21,128",0.00
September 30 2021,Onslow,NC,Passenger,0,1,1,178,179,0.56
March 31 2023,Las Animas,CO,Passenger,1,0,1,0,1,100.00
August 31 2017,Thurston,WA,Passenger,421,359,780,"187,738","188,518",0.41
July 31 2018,Douglas,WA,Passenger,43,32,75,"27,721","27,796",0.27
January 31 2021,Lincoln,WA,Truck,0,0,0,"4,693","4,693",0.00
February 29 2024,DeKalb,GA,Passenger,1,0,1,30,31,3.23
June 30 2022,Marin,CA,Passenger,1,1,2,32,34,5.88
April 30 2018,Ramsey,MN,Passenger,1,0,1,41,42,2.38
March 31 2021,San Bernardino,CA,Passenger,1,0,1,392,393,0.25
February 28 2017,Gwinnett,GA,Passenger,0,1,1,90,91,1.10
February 28 2023,Saratoga,NY,Passenger,1,1,2,39,41,4.88
July 31 2020,San Mateo,CA,Passenger,0,1,1,118,119,0.84
July 31 2022,Columbia,WA,Passenger,7,0,7,"2,429","2,436",0.29
May 31 2017,Monroe,NY,Passenger,1,0,1,27,28,3.57
August 31 2019,Yakima,WA,Truck,0,0,0,"59,385","59,385",0.00
September 30 2021,Lee,FL,Passenger,1,0,1,39,40,2.50
April 30 2023,Richland,SC,Passenger,0,1,1,103,104,0.96
May 31 2023,Randolph,NC,Passenger,1,0,1,3,4,25.00
July 31 2018,San Juan,PR,Passenger,0,1,1,4,5,20.00
August 31 2019,Rogers,OK,Passenger,1,0,1,6,7,14.29
January 31 2018,Chelan,WA,Passenger,94,38,132,"53,233","53,365",0.25
September 30 2020,Orange,CA,Passenger,5,3,8,488,496,1.61
October 31 2020,Sedgwick,KS,Passenger,1,1,2,95,97,2.06
December 31 2021,Louisa,VA,Passenger,0,1,1,1,2,50.00
February 28 2018,Prince William,VA,Passenger,0,5,5,267,272,1.84
September 30 2021,Champaign,IL,Passenger,1,0,1,12,13,7.69
September 30 2020,San Mateo,CA,Passenger,0,1,1,115,116,0.86
April 30 2020,Charleston,SC,Passenger,1,0,1,111,112,0.89
May 31 2021,Nassau,FL,Passenger,1,0,1,31,32,3.12
November 30 2019,St. Mary's,MD,Passenger,1,0,1,215,216,0.46
January 31 2023,Portsmouth,VA,Passenger,0,1,1,75,76,1.32
March 31 2021,Fort Bend,TX,Passenger,1,0,1,40,41,2.44
April 30 2022,Hillsborough,FL,Passenger,0,3,3,131,134,2.24
June 30 2022,Saratoga,NY,Passenger,1,0,1,43,44,2.27
December 31 2019,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
July 31 2019,King,WA,Passenger,"19,624","7,111","26,735","1,390,891","1,417,626",1.89
June 30 2018,Thurston,WA,Passenger,572,480,"1,052","192,965","194,017",0.54
September 30 2018,Adams,WA,Passenger,5,5,10,"12,678","12,688",0.08
July 31 2020,Denver,CO,Passenger,1,0,1,119,120,0.83
August 31 2023,Frederick,MD,Passenger,2,1,3,50,53,5.66
November 30 2022,Nueces,TX,Passenger,0,1,1,53,54,1.85
June 30 2023,Charleston,SC,Passenger,1,2,3,54,57,5.26
December 31 2022,Asotin,WA,Passenger,29,20,49,"12,452","12,501",0.39
January 31 2020,Ferry,WA,Passenger,5,2,7,"4,382","4,389",0.16
June 30 2022,Pacific,WA,Truck,0,0,0,"7,912","7,912",0.00
April 30 2021,Henrico,VA,Passenger,0,1,1,18,19,5.26
September 30 2021,Camden,NJ,Passenger,0,1,1,15,16,6.25
July 31 2017,Dakota,MN,Passenger,0,1,1,37,38,2.63
November 30 2022,Polk,OR,Passenger,0,1,1,20,21,4.76
March 31 2018,Okaloosa,FL,Passenger,1,0,1,179,180,0.56
January 31 2024,Salt Lake,UT,Passenger,1,1,2,77,79,2.53
June 30 2023,St. Mary's,MD,Passenger,1,0,1,169,170,0.59
January 31 2022,Collin,TX,Passenger,2,0,2,110,112,1.79
August 31 2019,Polk,FL,Passenger,1,0,1,74,75,1.33
January 31 2022,Maricopa,AZ,Passenger,7,5,12,"1,167","1,179",1.02
September 30 2023,Marin,CA,Passenger,1,1,2,25,27,7.41
September 30 2022,Harrison,MS,Passenger,1,0,1,42,43,2.33
December 31 2020,Randolph,NC,Passenger,1,0,1,7,8,12.50
November 30 2022,Sacramento,CA,Truck,1,0,1,39,40,2.50
October 31 2017,Santa Clara,CA,Passenger,6,1,7,393,400,1.75
September 30 2019,Asotin,WA,Passenger,12,8,20,"12,629","12,649",0.16
September 30 2018,Lewis,WA,Truck,0,0,0,"25,570","25,570",0.00
June 30 2020,Montgomery,TX,Passenger,1,0,1,55,56,1.79
June 30 2019,Carroll,NH,Passenger,0,1,1,3,4,25.00
June 30 2022,Whatcom,WA,Passenger,"1,814",737,"2,551","148,891","151,442",1.68
September 30 2021,Santa Clara,CA,Passenger,9,2,11,267,278,3.96
June 30 2023,Otero,NM,Passenger,0,1,1,25,26,3.85
January 31 2024,Adams,WA,Truck,3,0,3,"5,208","5,211",0.06
May 31 2022,Williamson,TX,Passenger,1,2,3,88,91,3.30
July 31 2019,Eagle,CO,Passenger,1,0,1,6,7,14.29
October 31 2020,Lewis,WA,Passenger,114,117,231,"58,444","58,675",0.39
February 28 2018,San Diego,CA,Passenger,6,1,7,"2,574","2,581",0.27
October 31 2023,Kings,CA,Passenger,2,2,4,261,265,1.51
August 31 2020,Cumberland,NC,Passenger,0,3,3,471,474,0.63
August 31 2021,St. Mary's,MD,Passenger,1,0,1,203,204,0.49
January 31 2019,Riverside,CA,Passenger,2,2,4,670,674,0.59
April 30 2022,Jefferson,WA,Truck,0,0,0,"9,518","9,518",0.00
September 30 2021,Whatcom,WA,Passenger,"1,540",641,"2,181","150,453","152,634",1.43
April 30 2023,Yakima,WA,Truck,11,0,11,"61,162","61,173",0.02
July 31 2019,Lincoln,WA,Passenger,2,10,12,"7,793","7,805",0.15
August 31 2023,Orange,CA,Passenger,8,3,11,304,315,3.49
May 31 2023,Washtenaw,MI,Passenger,0,2,2,22,24,8.33
July 31 2019,Camden,NJ,Passenger,0,1,1,25,26,3.85
September 30 2019,Jefferson,WA,Truck,0,0,0,"9,679","9,679",0.00
November 30 2023,Ada,ID,Passenger,2,0,2,91,93,2.15
June 30 2020,Charles,MD,Passenger,1,1,2,77,79,2.53
September 30 2020,Jefferson,CO,Passenger,0,1,1,55,56,1.79
February 29 2024,Norfolk,VA,Passenger,0,1,1,224,225,0.44
August 31 2017,Flathead,MT,Passenger,1,0,1,60,61,1.64
December 31 2022,,,Passenger,4,0,4,291,295,1.36
May 31 2023,Bell,TX,Passenger,1,0,1,268,269,0.37
November 30 2022,Kauai,HI,Passenger,1,1,2,15,17,11.76
December 31 2023,King,WA,Truck,"1,054",2,"1,056","170,573","171,629",0.62
September 30 2021,San Juan,WA,Truck,0,0,0,"5,981","5,981",0.00
March 31 2022,Island,WA,Truck,1,0,1,"21,440","21,441",0.00
March 31 2018,Nantucket,MA,Passenger,1,0,1,4,5,20.00
May 31 2023,Mercer,NJ,Passenger,0,1,1,13,14,7.14
November 30 2023,DeKalb,GA,Passenger,2,0,2,35,37,5.41
October 31 2017,Walla Walla,WA,Truck,0,0,0,"13,257","13,257",0.00
July 31 2018,Santa Clara,CA,Passenger,7,0,7,382,389,1.80
July 31 2020,Arapahoe,CO,Passenger,1,0,1,134,135,0.74
August 31 2021,Powhatan,VA,Passenger,1,0,1,1,2,50.00
May 31 2020,Valencia,NM,Passenger,1,0,1,7,8,12.50
December 31 2023,Pacific,WA,Passenger,97,99,196,"15,392","15,588",1.26
September 30 2019,Hillsborough,FL,Passenger,0,1,1,195,196,0.51
July 31 2023,Henrico,VA,Passenger,0,1,1,7,8,12.50
March 31 2023,Mason,WA,Passenger,401,200,601,"46,433","47,034",1.28
October 31 2023,Adams,WA,Passenger,29,12,41,"13,064","13,105",0.31
December 31 2022,Pend Oreille,WA,Truck,0,0,0,"5,586","5,586",0.00
September 30 2018,Lincoln,WA,Truck,0,0,0,"4,579","4,579",0.00
April 30 2019,New Haven,CT,Passenger,0,2,2,50,52,3.85
January 31 2024,Riverside,CA,Passenger,4,0,4,325,329,1.22
November 30 2019,Eagle,CO,Passenger,1,0,1,6,7,14.29
July 31 2021,King,WA,Truck,5,1,6,"184,299","184,305",0.00
July 31 2019,Lewis,WA,Passenger,100,98,198,"59,361","59,559",0.33
June 30 2023,Riverside,CA,Passenger,6,0,6,384,390,1.54
December 31 2021,Prince George's,MD,Passenger,2,1,3,154,157,1.91
April 30 2019,Polk,FL,Passenger,1,0,1,70,71,1.41
July 31 2019,Harrison,MS,Passenger,1,0,1,65,66,1.52
December 31 2023,Gwinnett,GA,Passenger,1,0,1,33,34,2.94
November 30 2023,Parker,TX,Passenger,0,1,1,13,14,7.14
January 31 2024,Maui,HI,Passenger,1,0,1,20,21,4.76
August 31 2020,Ramsey,MN,Passenger,1,0,1,39,40,2.50
January 31 2018,,,Passenger,3,1,4,438,442,0.90
January 31 2019,Boulder,CO,Passenger,1,0,1,52,53,1.89
February 28 2021,Fort Bend,TX,Passenger,1,0,1,41,42,2.38
February 28 2023,Montgomery,MD,Passenger,4,3,7,192,199,3.52
October 31 2022,Autauga,AL,Passenger,2,0,2,14,16,12.50
December 31 2018,Ferry,WA,Truck,0,0,0,"3,584","3,584",0.00
November 30 2019,Pend Oreille,WA,Truck,0,0,0,"5,730","5,730",0.00
January 31 2021,King,WA,Truck,6,1,7,"184,298","184,305",0.00
August 31 2017,El Paso,CO,Passenger,2,0,2,786,788,0.25
June 30 2020,Clay,FL,Passenger,0,1,1,83,84,1.19
July 31 2021,Yamhill,OR,Passenger,1,0,1,40,41,2.44
February 28 2019,Harnett,NC,Passenger,1,0,1,224,225,0.44
February 28 2017,Honolulu,HI,Passenger,4,2,6,638,644,0.93
December 31 2021,Montgomery,TN,Passenger,1,0,1,219,220,0.45
March 31 2019,DuPage,IL,Passenger,1,0,1,64,65,1.54
November 30 2020,Kern,CA,Passenger,0,1,1,219,220,0.45
June 30 2019,Garfield,WA,Truck,0,0,0,962,962,0.00
June 30 2023,Ulster,NY,Passenger,1,0,1,8,9,11.11
February 29 2024,Newport,RI,Passenger,0,1,1,43,44,2.27
December 31 2020,Island,WA,Truck,0,0,0,"21,341","21,341",0.00
December 31 2019,Travis,TX,Passenger,4,1,5,210,215,2.33
May 31 2019,Manassas,VA,Passenger,0,1,1,8,9,11.11
August 31 2022,Henrico,VA,Passenger,0,1,1,12,13,7.69
April 30 2023,Skagit,WA,Passenger,"1,052",389,"1,441","88,998","90,439",1.59
August 31 2018,Klickitat,WA,Passenger,24,32,56,"15,282","15,338",0.37
November 30 2021,Franklin,WA,Truck,0,0,0,"20,774","20,774",0.00
January 31 2020,Guadalupe,TX,Passenger,1,0,1,72,73,1.37
February 29 2020,Whatcom,WA,Passenger,"1,042",486,"1,528","151,566","153,094",1.00
September 30 2023,Skagit,WA,Passenger,"1,234",448,"1,682","88,485","90,167",1.87
April 30 2017,Hawaii,HI,Passenger,1,0,1,86,87,1.15
April 30 2023,Plaquemines,LA,Passenger,1,1,2,18,20,10.00
December 31 2022,Columbia,OR,Passenger,1,0,1,13,14,7.14
September 30 2017,Essex,NJ,Passenger,1,0,1,15,16,6.25
December 31 2022,Autauga,AL,Passenger,2,0,2,13,15,13.33
October 31 2020,Bucks,PA,Passenger,1,0,1,21,22,4.55
April 30 2020,Saginaw,MI,Passenger,1,0,1,12,13,7.69
July 31 2019,Stevens,WA,Passenger,19,30,49,"31,702","31,751",0.15
June 30 2020,Adams,WA,Passenger,9,7,16,"12,781","12,797",0.13
January 31 2017,Clallam,WA,Passenger,73,64,137,"48,003","48,140",0.28
April 30 2022,Harris,TX,Passenger,2,0,2,174,176,1.14
March 31 2022,Salt Lake,UT,Passenger,1,1,2,155,157,1.27
November 30 2017,Hardin,KY,Passenger,0,1,1,114,115,0.87
October 31 2022,Stevens,WA,Passenger,83,56,139,"29,986","30,125",0.46
March 31 2019,Columbia,WA,Passenger,2,2,4,"2,428","2,432",0.16
March 31 2021,Kittitas,WA,Truck,0,0,0,"14,757","14,757",0.00
April 30 2021,,,Passenger,4,2,6,353,359,1.67
February 28 2022,Klickitat,WA,Truck,0,0,0,"8,325","8,325",0.00
June 30 2019,Placer,CA,Passenger,1,0,1,108,109,0.92
September 30 2017,Prince George's,MD,Passenger,0,1,1,184,185,0.54
December 31 2022,Deschutes,OR,Passenger,1,0,1,77,78,1.28
March 31 2018,Howard,MD,Passenger,0,1,1,91,92,1.09
October 31 2022,Hardin,KY,Passenger,1,0,1,58,59,1.69
July 31 2017,Stevens,WA,Passenger,8,23,31,"31,386","31,417",0.10
January 31 2020,El Paso,TX,Passenger,3,0,3,455,458,0.66
January 31 2022,San Bernardino,CA,Passenger,2,1,3,370,373,0.80
September 30 2020,Middlesex,MA,Passenger,1,1,2,95,97,2.06
January 31 2020,Shelby,OH,Passenger,0,1,1,2,3,33.33
April 30 2018,Franklin,WA,Passenger,37,59,96,"57,396","57,492",0.17
January 31 2023,Maricopa,AZ,Passenger,8,5,13,828,841,1.55
October 31 2021,Pinellas,FL,Passenger,0,1,1,97,98,1.02
June 30 2019,Yakima,WA,Passenger,105,104,209,"165,125","165,334",0.13
September 30 2021,Kitsap,WA,Passenger,"1,992",905,"2,897","180,630","183,527",1.58
February 28 2017,Thurston,WA,Truck,0,0,0,"53,334","53,334",0.00
May 31 2021,Mason,WA,Truck,0,0,0,"21,326","21,326",0.00
November 30 2019,Washoe,NV,Passenger,1,0,1,114,115,0.87
September 30 2022,Boulder,CO,Passenger,2,0,2,42,44,4.55
March 31 2018,Clay,FL,Passenger,0,1,1,101,102,0.98
December 31 2017,Allegheny,PA,Passenger,1,0,1,86,87,1.15
September 30 2019,Camden,NJ,Passenger,0,1,1,24,25,4.00
July 31 2017,Snohomish,WA,Passenger,"1,818",919,"2,737","513,232","515,969",0.53
April 30 2017,Stevens,WA,Passenger,8,22,30,"31,226","31,256",0.10
October 31 2019,Island,WA,Passenger,362,251,613,"63,595","64,208",0.95
February 28 2019,Clark,NV,Passenger,4,2,6,720,726,0.83
November 30 2023,Allegheny,PA,Passenger,1,0,1,48,49,2.04
September 30 2022,Snohomish,WA,Truck,59,0,59,"122,997","123,056",0.05
October 31 2021,Garfield,WA,Passenger,0,3,3,"1,353","1,356",0.22
August 31 2023,El Paso,CO,Passenger,3,1,4,477,481,0.83
May 31 2023,Klickitat,WA,Passenger,145,64,209,"15,175","15,384",1.36
February 28 2017,Asotin,WA,Passenger,4,3,7,"12,321","12,328",0.06
June 30 2021,San Bernardino,CA,Passenger,1,0,1,387,388,0.26
December 31 2020,DeKalb,GA,Passenger,1,0,1,73,74,1.35
April 30 2019,Juneau,AK,Passenger,0,2,2,33,35,5.71
January 31 2017,Santa Barbara,CA,Passenger,0,1,1,135,136,0.74
January 31 2023,Stafford,VA,Passenger,3,1,4,87,91,4.40
November 30 2020,Alameda,CA,Passenger,3,0,3,273,276,1.09
August 31 2020,Clallam,WA,Passenger,239,171,410,"49,947","50,357",0.81
May 31 2020,Riverside,CA,Passenger,3,1,4,629,633,0.63
September 30 2022,Santa Clara,CA,Passenger,12,2,14,233,247,5.67
November 30 2023,Douglas,WA,Truck,8,0,8,"12,927","12,935",0.06
September 30 2018,Mercer,NJ,Passenger,0,1,1,20,21,4.76
May 31 2019,Suffolk,MA,Passenger,0,1,1,40,41,2.44
July 31 2023,Grays Harbor,WA,Truck,9,0,9,"20,943","20,952",0.04
November 30 2022,Pacific,WA,Truck,1,0,1,"7,844","7,845",0.01
November 30 2023,Richland,SC,Passenger,0,1,1,91,92,1.09
December 31 2021,Suffolk,MA,Passenger,0,2,2,27,29,6.90
July 31 2022,Yavapai,AZ,Passenger,0,1,1,28,29,3.45
December 31 2021,Sumter,SC,Passenger,0,1,1,34,35,2.86
April 30 2022,Prince William,VA,Passenger,1,3,4,203,207,1.93
April 30 2022,Multnomah,OR,Passenger,0,4,4,582,586,0.68
January 31 2017,Mercer,NJ,Passenger,0,1,1,22,23,4.35
December 31 2023,Hennepin,MN,Passenger,1,0,1,28,29,3.45
March 31 2022,Montgomery,TN,Passenger,1,0,1,214,215,0.47
August 31 2018,Clallam,WA,Truck,0,0,0,"21,475","21,475",0.00
October 31 2022,Adams,WA,Passenger,22,12,34,"13,020","13,054",0.26
November 30 2017,El Paso,CO,Passenger,2,0,2,772,774,0.26
March 31 2018,Ramsey,MN,Passenger,1,0,1,39,40,2.50
January 31 2017,Grays Harbor,WA,Passenger,27,24,51,"44,309","44,360",0.11
October 31 2017,Columbia,WA,Passenger,1,1,2,"2,394","2,396",0.08
March 31 2023,Stevens,WA,Passenger,102,60,162,"29,821","29,983",0.54
June 30 2022,Sheridan,WY,Passenger,1,0,1,7,8,12.50
April 30 2018,El Paso,TX,Passenger,1,0,1,521,522,0.19
May 31 2021,Philadelphia,PA,Passenger,1,0,1,52,53,1.89
June 30 2019,Lincoln,WA,Truck,0,0,0,"4,676","4,676",0.00
April 30 2021,Yamhill,OR,Passenger,1,0,1,43,44,2.27
September 30 2022,Harford,MD,Passenger,1,1,2,44,46,4.35
October 31 2021,St. Louis,MO,Passenger,1,0,1,77,78,1.28
February 29 2020,Montgomery,PA,Passenger,2,0,2,37,39,5.13
April 30 2018,Montgomery,PA,Passenger,1,0,1,35,36,2.78
June 30 2022,Rockdale,GA,Passenger,1,0,1,6,7,14.29
December 31 2020,Yakima,WA,Truck,0,0,0,"60,975","60,975",0.00
March 31 2023,Pulaski,AR,Passenger,3,0,3,22,25,12.00
August 31 2019,Middlesex,MA,Passenger,1,1,2,114,116,1.72
October 31 2022,Grant,WA,Passenger,211,108,319,"66,655","66,974",0.48
December 31 2021,Cook,IL,Passenger,2,0,2,209,211,0.95
November 30 2019,Montgomery,AL,Passenger,0,1,1,38,39,2.56
February 28 2019,Grays Harbor,WA,Passenger,66,79,145,"47,451","47,596",0.30
February 28 2017,San Juan,WA,Truck,0,0,0,"5,571","5,571",0.00
June 30 2019,Pend Oreille,WA,Passenger,4,5,9,"9,528","9,537",0.09
November 30 2019,Douglas,WA,Passenger,65,38,103,"28,282","28,385",0.36
September 30 2022,Cook,IL,Passenger,3,0,3,189,192,1.56
September 30 2019,Polk,FL,Passenger,1,0,1,72,73,1.37
January 31 2023,Nassau,NY,Passenger,2,0,2,27,29,6.90
December 31 2023,Atlantic,NJ,Passenger,1,0,1,7,8,12.50
January 31 2021,Chelan,WA,Truck,0,0,0,"22,832","22,832",0.00
February 29 2020,Douglas,WA,Truck,0,0,0,"12,316","12,316",0.00
October 31 2017,San Mateo,CA,Passenger,0,1,1,151,152,0.66
August 31 2022,Saratoga,NY,Passenger,1,0,1,43,44,2.27
May 31 2022,San Joaquin,CA,Passenger,1,1,2,98,100,2.00
November 30 2019,Oldham,KY,Passenger,0,1,1,5,6,16.67
March 31 2019,Cochise,AZ,Passenger,0,1,1,114,115,0.87
April 30 2018,San Juan,WA,Truck,0,0,0,"5,695","5,695",0.00
November 30 2019,Prince George's,MD,Passenger,1,1,2,179,181,1.10
February 28 2021,Douglas,CO,Passenger,0,1,1,82,83,1.20
June 30 2017,Montgomery,TN,Passenger,1,0,1,285,286,0.35
January 31 2021,Rogers,OK,Passenger,1,0,1,5,6,16.67
September 30 2022,Las Animas,CO,Passenger,1,0,1,1,2,50.00
November 30 2017,Benton,WA,Passenger,165,160,325,"129,873","130,198",0.25
May 31 2020,Hawaii,HI,Passenger,1,0,1,59,60,1.67
July 31 2019,Cumberland,NC,Passenger,0,2,2,514,516,0.39
August 31 2017,Portsmouth,VA,Passenger,0,1,1,65,66,1.52
November 30 2018,Lee,FL,Passenger,1,0,1,52,53,1.89
May 31 2023,Alameda,CA,Passenger,4,1,5,175,180,2.78
June 30 2023,Broward,FL,Passenger,1,0,1,66,67,1.49
May 31 2022,Douglas,WA,Passenger,131,58,189,"28,500","28,689",0.66
May 31 2020,Skamania,WA,Passenger,30,16,46,"8,520","8,566",0.54
August 31 2019,Lincoln,WA,Passenger,2,10,12,"7,786","7,798",0.15
May 31 2022,Ferry,WA,Truck,0,0,0,"3,568","3,568",0.00
September 30 2018,Cowlitz,WA,Truck,0,0,0,"28,599","28,599",0.00
February 29 2024,Mercer,NJ,Passenger,0,1,1,6,7,14.29
October 31 2021,Mason,WA,Truck,0,0,0,"21,264","21,264",0.00
November 30 2019,Kittitas,WA,Passenger,89,46,135,"30,009","30,144",0.45
May 31 2017,Monterey,CA,Passenger,0,1,1,211,212,0.47
November 30 2018,Montgomery,MD,Passenger,1,0,1,278,279,0.36
June 30 2018,Deschutes,OR,Passenger,1,0,1,177,178,0.56
March 31 2021,King,WA,Truck,6,1,7,"184,511","184,518",0.00
February 29 2020,Bexar,TX,Passenger,1,5,6,661,667,0.90
July 31 2020,Honolulu,HI,Passenger,4,2,6,468,474,1.27
September 30 2018,Saratoga,NY,Passenger,1,0,1,60,61,1.64
April 30 2022,King,WA,Passenger,"39,307","10,819","50,126","1,349,011","1,399,137",3.58
October 31 2019,Pierce,WA,Truck,0,0,0,"140,653","140,653",0.00
February 28 2021,Clark,WA,Truck,0,0,0,"83,510","83,510",0.00
April 30 2021,Loudoun,VA,Passenger,1,0,1,71,72,1.39
March 31 2023,San Mateo,CA,Passenger,1,0,1,70,71,1.41
November 30 2017,Deschutes,OR,Passenger,1,0,1,186,187,0.53
October 31 2019,Howard,MD,Passenger,0,1,1,82,83,1.20
June 30 2023,Sheridan,WY,Passenger,1,0,1,5,6,16.67
April 30 2017,Grays Harbor,WA,Passenger,29,30,59,"44,471","44,530",0.13
October 31 2022,Montgomery,MD,Passenger,4,2,6,195,201,2.99
June 30 2021,Lincoln,WA,Truck,0,0,0,"4,753","4,753",0.00
October 31 2022,Anne Arundel,MD,Passenger,3,3,6,316,322,1.86
June 30 2023,Williamson,TX,Passenger,0,1,1,51,52,1.92
November 30 2023,Harford,MD,Passenger,1,1,2,40,42,4.76
August 31 2020,Juneau,AK,Passenger,0,1,1,28,29,3.45
March 31 2020,Pierce,WA,Passenger,"2,310","1,691","4,001","550,934","554,935",0.72
December 31 2017,Morris,NJ,Passenger,1,0,1,21,22,4.55
August 31 2018,Volusia,FL,Passenger,0,1,1,37,38,2.63
July 31 2020,Walla Walla,WA,Truck,0,0,0,"13,754","13,754",0.00
March 31 2021,Duval,FL,Passenger,0,2,2,358,360,0.56
March 31 2022,Spartanburg,SC,Passenger,0,1,1,44,45,2.22
June 30 2019,Twin Falls,ID,Passenger,0,1,1,24,25,4.00
May 31 2018,Stevens,WA,Passenger,11,25,36,"31,559","31,595",0.11
July 31 2022,Whitman,WA,Passenger,88,60,148,"21,926","22,074",0.67
February 28 2022,San Juan,WA,Passenger,485,152,637,"14,172","14,809",4.30
July 31 2017,Lincoln,WA,Passenger,2,5,7,"7,519","7,526",0.09
January 31 2023,Cochise,AZ,Passenger,1,0,1,65,66,1.52
May 31 2017,Norfolk,VA,Passenger,1,1,2,309,311,0.64
March 31 2022,Baltimore,MD,Passenger,1,0,1,84,85,1.18
June 30 2018,Washtenaw,MI,Passenger,1,0,1,38,39,2.56
April 30 2019,Sacramento,CA,Passenger,0,1,1,304,305,0.33
May 31 2020,Lake,IL,Passenger,1,0,1,173,174,0.57
October 31 2023,Virginia Beach,VA,Passenger,3,2,5,414,419,1.19
November 30 2017,Wahkiakum,WA,Passenger,0,2,2,"2,868","2,870",0.07
December 31 2019,Santa Clara,CA,Passenger,8,2,10,367,377,2.65
May 31 2023,Cook,IL,Passenger,4,1,5,159,164,3.05
April 30 2018,Washtenaw,MI,Passenger,1,0,1,39,40,2.50
February 29 2020,Washtenaw,MI,Passenger,1,0,1,39,40,2.50
November 30 2021,Lee,FL,Passenger,1,0,1,35,36,2.78
June 30 2021,Hamilton,IN,Passenger,2,0,2,35,37,5.41
June 30 2018,Caddo,LA,Passenger,0,1,1,24,25,4.00
November 30 2021,Lincoln,WA,Passenger,7,16,23,"7,690","7,713",0.30
April 30 2022,San Mateo,CA,Passenger,2,0,2,87,89,2.25
October 31 2017,Prince George's,MD,Passenger,0,1,1,182,183,0.55
January 31 2020,Arapahoe,CO,Passenger,1,0,1,147,148,0.68
November 30 2017,Los Angeles,CA,Passenger,4,2,6,"1,240","1,246",0.48
June 30 2021,Richmond,NY,Passenger,1,0,1,7,8,12.50
October 31 2020,Washtenaw,MI,Passenger,1,1,2,32,34,5.88
June 30 2018,Mercer,NJ,Passenger,0,1,1,21,22,4.55
May 31 2018,Monroe,IL,Passenger,1,0,1,4,5,20.00
July 31 2018,Lincoln,WA,Truck,0,0,0,"4,556","4,556",0.00
August 31 2023,Arapahoe,CO,Passenger,1,1,2,71,73,2.74
June 30 2018,Monterey,CA,Passenger,0,1,1,185,186,0.54
July 31 2022,Yellowstone,MT,Passenger,0,1,1,20,21,4.76
October 31 2017,San Juan,WA,Passenger,127,40,167,"13,756","13,923",1.20
October 31 2019,Queens,NY,Passenger,1,0,1,52,53,1.89
February 28 2022,Douglas,NE,Passenger,1,2,3,50,53,5.66
August 31 2023,Washtenaw,MI,Passenger,0,2,2,18,20,10.00
April 30 2020,Snohomish,WA,Truck,0,0,0,"123,303","123,303",0.00
August 31 2021,Jefferson,WA,Truck,0,0,0,"9,608","9,608",0.00
November 30 2019,Riverside,CA,Passenger,4,1,5,638,643,0.78
March 31 2019,District of Columbia,DC,Passenger,1,1,2,201,203,0.99
April 30 2017,DeKalb,GA,Passenger,1,0,1,85,86,1.16
December 31 2022,Louisa,VA,Passenger,0,1,1,1,2,50.00
September 30 2022,Williamsburg,VA,Passenger,0,1,1,7,8,12.50
November 30 2021,Wahkiakum,WA,Passenger,17,10,27,"3,090","3,117",0.87
August 31 2023,Palm Beach,FL,Passenger,1,1,2,42,44,4.55
February 29 2024,Frederick,MD,Passenger,1,1,2,43,45,4.44
February 29 2020,Clackamas,OR,Passenger,2,1,3,213,216,1.39
May 31 2021,Franklin,WA,Truck,0,0,0,"20,651","20,651",0.00
October 31 2018,Sedgwick,KS,Passenger,0,1,1,102,103,0.97
October 31 2017,Dale,AL,Passenger,0,1,1,59,60,1.67
January 31 2019,Benton,WA,Truck,0,0,0,"41,616","41,616",0.00
May 31 2021,Thurston,WA,Truck,0,0,0,"56,607","56,607",0.00
August 31 2023,Island,WA,Passenger,"1,155",451,"1,606","61,059","62,665",2.56
